group,name,fullname,param,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,iterations,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,param:operators,param:device,param:tensor_cls,param:scale
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=1",0.003614909015595913,0.04593593813478947,0.032822456003891096,0.014660739653886364,27,0.040330120362341404,0.006426938809454441,0.03422467201016843,0.040651610819622874,6,5,5;6,0.0341888889670372,0.04593593813478947,30.466946162756685,0.8862063121050596,1,l_shipmode,FilterScan,Eq,AIR,6001215,858104,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=1",0.003664323128759861,0.0046707624569535255,0.003969915992932616,0.00017728766223643318,193,0.003960245288908482,0.00024159508757293224,0.003839408978819847,0.004081004066392779,3,63,63;3,0.003664323128759861,0.004456784576177597,251.8944989718259,0.7661937866359949,1,l_shipmode,FilterScan,Eq,AIR,6001215,858104,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=1",0.01979111135005951,0.023271524347364902,0.02059791699051857,0.0005455028747672908,50,0.0205082967877388,0.00043169036507606506,0.0203093234449625,0.020741013810038567,4,7,7;4,0.01979111135005951,0.021419701166450977,48.54859840732003,1.0298958495259285,1,l_shipmode,FilterScan,Eq,AIR,6001215,858104,7,42008505,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,PlainEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=1",0.028741242364048958,0.034708524122834206,0.029283145704539493,0.0010125859926245614,32,0.029129999689757824,0.00027758674696087837,0.029003465082496405,0.029281051829457283,1,1,1;1,0.028741242364048958,0.034708524122834206,34.149336621474355,0.9370606625452638,1,l_shipmode,FilterScan,Eq,AIR,6001215,858104,7,42008505,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CPlainEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=1",0.003339315764605999,0.0067137377336621284,0.003595422494925501,0.00026686102724456047,258,0.0035698125138878822,0.00026054587215185165,0.003422633744776249,0.0036831796169281006,7,20,20;7,0.003339315764605999,0.004080081358551979,278.1314300089566,0.9276190036907792,1,l_shipmode,FilterScan,Eq,AIR,6001215,858104,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,DictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=1",0.0036765150725841522,0.016557554714381695,0.0039554090104862915,0.0008608588312588876,222,0.003897074144333601,0.0001887073740363121,0.00378411915153265,0.003972826525568962,7,1,1;7,0.0036765150725841522,0.00425821915268898,252.81835515590754,0.8781008003279567,1,l_shipmode,FilterScan,Eq,AIR,6001215,858104,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CDictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=2",0.007655655965209007,0.02530341036617756,0.00798114505404037,0.0015911801636163266,121,0.00785378273576498,0.00012397090904414654,0.007769090123474598,0.007893061032518744,2,1,1;2,0.007655655965209007,0.008483106270432472,125.29530452447557,0.9657185515388846,1,l_shipmode,FilterScan,Eq,AIR,11997996,1715532,8,95983968,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=2",0.007975632324814796,0.008692953735589981,0.008168533474691516,0.00011122477724291152,123,0.008168799802660942,0.00011097011156380177,0.00810446497052908,0.008215435082092881,4,31,31;4,0.007975632324814796,0.008490750566124916,122.42099553099585,1.0047296173870564,1,l_shipmode,FilterScan,Eq,AIR,11997996,1715532,8,95983968,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=2",0.041067810729146004,0.04913810361176729,0.04183514187267671,0.0015736982535106826,24,0.041543399915099144,0.0003664204850792885,0.041336250491440296,0.041702670976519585,1,1,1;1,0.041067810729146004,0.04913810361176729,23.90334908014542,1.004043404944241,1,l_shipmode,FilterScan,Eq,AIR,11997996,1715532,7,83985972,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,PlainEncoding,2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=2",0.06870637275278568,0.06996110267937183,0.06930138257642587,0.0004158621236025645,15,0.069211320951581,0.000742858275771141,0.06894868263043463,0.06969154090620577,0,8,8;0,0.06870637275278568,0.06996110267937183,14.429726548344048,1.039520738646388,1,l_shipmode,FilterScan,Eq,AIR,11997996,1715532,7,83985972,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CPlainEncoding,2
