fullname,fullname.1,param:tensor_cls,param:device,param:scale,col,op,pred,val,mean,min,max,stddev,ops,rounds,query_result_size,tuple_element_size_bytes,tuple_count,total_size_bytes
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=PlainEncoding-scale=1.0]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=PlainEncoding-scale=1.0]",PlainEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0006646751028913,0.0006362264975905,0.0019209049642086,6.061106468925313e-05,1504.4944449550524,1266,858104,7,6001215,42008505
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CPlainEncoding-scale=1.0]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CPlainEncoding-scale=1.0]",CPlainEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0012103748229639,0.0011833747848868,0.0023585958406329,4.2317575873637806e-05,826.1903511436202,827,858104,7,6001215,42008505
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=DictionaryEncoding-scale=1.0]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=DictionaryEncoding-scale=1.0]",DictionaryEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0003422717708695,0.0003308486193418,0.0015592481940984,2.548119758643508e-05,2921.6549102472623,2764,858104,8,6001215,48009720
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CDictionaryEncoding-scale=1.0]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CDictionaryEncoding-scale=1.0]",CDictionaryEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0010307182871499,0.0010119313374161,0.0021861484274268,3.93216283304057e-05,970.1972037045516,977,858104,8,6001215,48009720
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=PlainEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=PlainEncoding-scale=1]",PlainEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0006422353267827,0.0006338721141219,0.0013784049078822,2.012759986145001e-05,1557.0616537235317,1512,858104,7,6001215,42008505
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CPlainEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CPlainEncoding-scale=1]",CPlainEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0012069982448648,0.00118288397789,0.0023624021559953,4.198377850652675e-05,828.5016189994277,835,858104,7,6001215,42008505
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=DictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=DictionaryEncoding-scale=1]",DictionaryEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0003422058610933,0.0003311177715659,0.0015153437852859,2.363418639453567e-05,2922.2176288999644,2817,858104,8,6001215,48009720
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CDictionaryEncoding-scale=1]",CDictionaryEncoding,cuda,1.0,l_shipmode,FilterScan,Eq,AIR,0.0010308000651388,0.0010052574798464,0.0021826215088367,3.8113274666178574e-05,970.1202336122124,971,858104,8,6001215,48009720
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=PlainEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=PlainEncoding-scale=2]",PlainEncoding,cuda,2.0,l_shipmode,FilterScan,Eq,AIR,0.0011800182848889,0.0011260071769356,0.0016137016937136,8.754273204601156e-05,847.4444953996033,693,1715532,7,11997996,83985972
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CPlainEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=CPlainEncoding-scale=2]",CPlainEncoding,cuda,2.0,l_shipmode,FilterScan,Eq,AIR,0.0017619465615438,0.0016998155042529,0.0019704177975654,4.392079253891608e-05,567.5541028462228,575,1715532,7,11997996,83985972
