group,name,fullname,param,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,iterations,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,param:operators,param:device,param:tensor_cls,param:scale
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=1",0.01186308916658163,0.01305125281214714,0.012494188363421452,0.0002760013676888104,73,0.012528390623629093,0.00039391289465129375,0.012278970563784242,0.012672883458435535,0,27,27;0,0.01186308916658163,0.01305125281214714,80.03721177500772,0.9120757505297661,1,l_shipmode,FilterScan,Lt,REG AIR,6001215,3429313,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,UnsortedDictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=1",0.01274982187896967,0.01695893704891205,0.01330630531935375,0.0005546602378627861,79,0.013166772201657295,0.0003948716912418604,0.01302967220544815,0.013424543896690011,4,7,7;4,0.01274982187896967,0.014058073982596397,75.1523413900266,1.0511981202289462,1,l_shipmode,FilterScan,Lt,REG AIR,6001215,3429313,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,UnsortedCDictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=PlainEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=PlainEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=PlainEncoding-scale=1",0.06299280188977718,0.06424872390925884,0.06357052916428074,0.00032693232987331675,16,0.06351805804297328,0.00048766471445560455,0.06335103744640946,0.06383870216086507,0,6,6;0,0.06299280188977718,0.06424872390925884,15.730559634257125,1.0171284666284919,1,l_shipmode,FilterScan,Lt,REG AIR,6001215,3429313,7,42008505,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,PlainEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CPlainEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CPlainEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CPlainEncoding-scale=1",0.1412960533052683,0.14222493581473827,0.1417650958755985,0.00035172249770184036,8,0.14181215222924948,0.000624124426394701,0.14143180614337325,0.14205593056976795,0,3,3;0,0.1412960533052683,0.14222493581473827,7.053922503445549,1.134120767004788,1,l_shipmode,FilterScan,Lt,REG AIR,6001215,3429313,7,42008505,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,CPlainEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=DictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=DictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=DictionaryEncoding-scale=1",0.006825351156294346,0.045811232179403305,0.007782342942488013,0.004757158287257981,66,0.007234822027385235,0.0001794705167412758,0.007092587649822235,0.007272058166563511,5,1,1;5,0.006825351156294346,0.0076331328600645065,128.49600787193017,0.5136346342042089,1,l_shipmode,FilterScan,Lt,REG AIR,6001215,3429313,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,DictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CDictionaryEncoding-scale=1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CDictionaryEncoding-scale=1]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CDictionaryEncoding-scale=1",0.007390974089503288,0.008310427889227867,0.00781375176918048,0.00018331477475662573,26,0.007832967210561037,0.0001989779993891716,0.007715399377048016,0.007914377376437187,2,4,4;2,0.007453952915966511,0.008310427889227867,127.97949429930273,0.2031575459986925,1,l_shipmode,FilterScan,Lt,REG AIR,6001215,3429313,8,48009720,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,CDictionaryEncoding,1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=2",0.02215909492224455,0.023744171485304832,0.023006666473351246,0.00041117733913481337,43,0.023016510531306267,0.0006004043389111757,0.02272511413320899,0.023325518472120166,0,14,14;0,0.02215909492224455,0.023744171485304832,43.46566249214356,0.9892866583541036,1,l_shipmode,FilterScan,Lt,REG AIR,11997996,6855758,8,95983968,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,UnsortedDictionaryEncoding,2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=2",0.02277487237006426,0.024406869895756245,0.02367794951847331,0.0003972929490158207,44,0.023683822248131037,0.0006883810274302959,0.02336280792951584,0.024051188956946135,0,15,15;0,0.02277487237006426,0.024406869895756245,42.23338677277817,1.0418297788128257,1,l_shipmode,FilterScan,Lt,REG AIR,11997996,6855758,8,95983968,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,UnsortedCDictionaryEncoding,2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=PlainEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=PlainEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=PlainEncoding-scale=2",0.08122986555099487,0.0825081504881382,0.08178321888240483,0.00043707086008940786,13,0.08163689728826284,0.00078791962005198,0.08145390963181853,0.08224182925187051,0,7,7;0,0.08122986555099487,0.0825081504881382,12.22744731334051,1.063181845471263,1,l_shipmode,FilterScan,Lt,REG AIR,11997996,6855758,7,83985972,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,PlainEncoding,2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CPlainEncoding-scale=2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CPlainEncoding-scale=2]","op=FilterScan,col=l_shipmode,pred=Lt,val=REG AIR-device=cpu-encoding=CPlainEncoding-scale=2",0.24469983018934727,0.24830393865704536,0.2458525814116001,0.001433774938998885,5,0.24540911708027124,0.001503422623500228,0.24494251771830022,0.24644594034180045,0,1,1;0,0.24469983018934727,0.24830393865704536,4.067478137745585,1.2292629070580006,1,l_shipmode,FilterScan,Lt,REG AIR,11997996,6855758,7,83985972,"[FilterScan(col='l_shipmode', pred=PredicateLt(value='REG AIR'))]",cpu,CPlainEncoding,2
