group,name,fullname,param,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,iterations,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,param:operators,param:device,param:tensor_cls,param:scale
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.1",0.0016886042430996895,0.003878248855471611,0.0017343354102852474,0.00015271901822485213,332,0.0017137210816144943,1.9150320440530777e-05,0.0017067641019821167,0.0017259144224226475,27,6,6;27,0.0016886042430996895,0.0017591379582881927,576.5897381035018,0.5757993562147021,1,l_shipmode,FilterScan,Eq,AIR,600572,85689,7,4204004,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,PlainEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.1",0.004107322543859482,0.008119908161461353,0.004294156969466188,0.00030583909508964565,222,0.004247969947755337,0.00012549851089715958,0.004193486645817757,0.004318985156714916,7,6,6;7,0.004107322543859482,0.004535726271569729,232.87457983267697,0.9533028472214937,1,l_shipmode,FilterScan,Eq,AIR,600572,85689,7,4204004,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CPlainEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=0.1",0.0003508254885673523,0.003033044748008251,0.00037098329751488737,7.357270718815479e-05,2120,0.0003650081343948841,1.233816146850586e-05,0.0003595021553337574,0.00037184031680226326,117,12,12;117,0.0003508254885673523,0.00039048120379447937,2695.539143402731,0.7864845907315612,1,l_shipmode,FilterScan,Eq,AIR,600572,85689,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,DictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=0.1",0.0006630280986428261,0.0023915665224194527,0.0007238993908645708,5.7382603856506065e-05,1261,0.0007183225825428963,4.4365646317601204e-05,0.0006969051901251078,0.000741270836442709,12,67,67;12,0.0006630280986428261,0.0008086655288934708,1381.4074339884103,0.9128371318802238,1,l_shipmode,FilterScan,Eq,AIR,600572,85689,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.2",0.003260236233472824,0.003636741079390049,0.003340716049559925,4.678867836195078e-05,292,0.0033373269252479076,5.165860056877136e-05,0.00330976489931345,0.0033614234998822212,8,91,91;8,0.003260236233472824,0.0034442245960235596,299.33702390891045,0.975489086471498,1,l_shipmode,FilterScan,Eq,AIR,1199969,171945,7,8399783,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,PlainEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.2",0.005558857694268227,0.008276444859802723,0.005880142639701565,0.00026334867236565626,156,0.005852323956787586,0.00022721150889992714,0.0057441736571490765,0.005971385166049004,4,13,13;4,0.005558857694268227,0.00633882824331522,170.0639017237774,0.9173022517934442,1,l_shipmode,FilterScan,Eq,AIR,1199969,171945,7,8399783,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CPlainEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=DictionaryEncoding-scale=0.2",0.0005745198577642441,0.0007640095427632332,0.0006015928119491294,1.5809306634658712e-05,1060,0.000597312580794096,1.2082979083061218e-05,0.0005932711064815521,0.0006053540855646133,82,137,137;82,0.000576995313167572,0.0006235325708985329,1662.2539035332754,0.6376883806660771,1,l_shipmode,FilterScan,Eq,AIR,1199969,171945,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,DictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CDictionaryEncoding-scale=0.2",0.0009124111384153366,0.0036494750529527664,0.0009677511103677027,0.00010997128628765672,990,0.0009500831365585327,4.8471614718437195e-05,0.0009347740560770035,0.0009832456707954407,23,14,14;23,0.0009124111384153366,0.001056114211678505,1033.3235366891433,0.9580735992640257,1,l_shipmode,FilterScan,Eq,AIR,1199969,171945,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=PlainEncoding-scale=0.3",0.004892243072390556,0.006768463179469109,0.005028633008413206,0.00019191135136750962,197,0.005004987120628357,0.00010100542567670345,0.004952256567776203,0.005053261993452907,6,6,6;6,0.004892243072390556,0.005262315273284912,198.8612011111051,0.9906407026574016,1,l_shipmode,FilterScan,Eq,AIR,1800093,257939,7,12600651,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,PlainEncoding,0.3
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=CPlainEncoding-scale=0.3",0.006925000809133053,0.00915804784744978,0.007321926636424491,0.00030804180144814,123,0.007220561616122723,0.00030062603764235973,0.007121117087081075,0.0074217431247234344,7,16,16;7,0.006925000809133053,0.007874051108956337,136.57607480321997,0.9005969762802124,1,l_shipmode,FilterScan,Eq,AIR,1800093,257939,7,12600651,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,CPlainEncoding,0.3
