fullname,fullname,param:tensor_cls,param:device,param:scale,col,op,pred,val,mean,min,max,stddev,ops,rounds,query_result_size,tuple_element_size_bytes,tuple_count,total_size_bytes
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.1]",UnsortedDictionaryEncoding,cpu,0.1,l_shipmode,FilterScan,Eq,AIR,6.66883835974982e-05,6.353016942739487e-05,0.0015597697347402,1.7478995264943062e-05,14995.11528177922,7511,0,8,600572,4804576
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.1]",UnsortedCDictionaryEncoding,cpu,0.1,l_shipmode,FilterScan,Eq,AIR,0.0001435867515252,0.0001387540251016,0.0007963608950376,1.0954700685645512e-05,6964.430836253633,5155,0,8,600572,4804576
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.2]",UnsortedDictionaryEncoding,cpu,0.2,l_shipmode,FilterScan,Eq,AIR,6.495651695024687e-05,6.246939301490784e-05,0.0001176530495285,2.151374629643606e-06,15394.914120255942,9503,0,8,1199969,9599752
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.2]",UnsortedCDictionaryEncoding,cpu,0.2,l_shipmode,FilterScan,Eq,AIR,0.0001437062709434,0.0001387326046824,0.0016164174303412,2.139053840082622e-05,6958.638571821449,5119,0,8,1199969,9599752
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.2]",UnsortedDictionaryEncoding,cuda,0.2,l_shipmode,FilterScan,Eq,AIR,0.0001944348284968,0.0001894989982247,0.0002290634438395,3.27452260259406e-06,5143.11148743674,2757,0,8,1199969,9599752
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.2]",UnsortedCDictionaryEncoding,cuda,0.2,l_shipmode,FilterScan,Eq,AIR,0.000361065921416,0.0003545628860592,0.0005152579396963,9.028760482044817e-06,2769.5773560632674,2659,0,8,1199969,9599752
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.1]",UnsortedDictionaryEncoding,cuda,0.1,l_shipmode,FilterScan,Eq,AIR,0.0001945397925033,0.000188797712326,0.002304040826857,3.1828437699852045e-05,5140.3365200102335,4595,0,8,600572,4804576
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.1]",UnsortedCDictionaryEncoding,cuda,0.1,l_shipmode,FilterScan,Eq,AIR,0.0003610871360134,0.0003531398251652,0.0005156090483069,8.236032165904813e-06,2769.414637808548,2608,0,8,600572,4804576
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.3]",UnsortedDictionaryEncoding,cuda,0.3,l_shipmode,FilterScan,Eq,AIR,0.0001948837365626,0.0001882370561361,0.0004053488373756,7.449145504771714e-06,5131.264504868683,4679,0,8,1800093,14400744
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.3]",UnsortedCDictionaryEncoding,cuda,0.3,l_shipmode,FilterScan,Eq,AIR,0.0003585355339735,0.000347820110619,0.0006094863638281,7.3464887424613025e-06,2789.123825237641,2693,0,8,1800093,14400744
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.3]",UnsortedDictionaryEncoding,cpu,0.3,l_shipmode,FilterScan,Eq,AIR,6.508313072493455e-05,6.286893039941788e-05,0.0002378411591053,3.553935223550673e-06,15364.9646054424,9925,0,8,1800093,14400744
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.3]",UnsortedCDictionaryEncoding,cpu,0.3,l_shipmode,FilterScan,Eq,AIR,0.0001419535342306,0.0001384830102324,0.0002921456471085,4.251864543089848e-06,7044.55866787506,5260,0,8,1800093,14400744
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.4]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.4]",UnsortedDictionaryEncoding,cuda,0.4,l_shipmode,FilterScan,Eq,AIR,0.0001953309934795,0.0001898603513836,0.0004270793870091,6.991062831402761e-06,5119.515250429073,4666,0,8,2399740,19197920
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.4]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.4]",UnsortedCDictionaryEncoding,cuda,0.4,l_shipmode,FilterScan,Eq,AIR,0.0003599362984116,0.0003537815064191,0.0005111200734972,7.81016878447201e-06,2778.269389369709,2678,0,8,2399740,19197920
"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.4]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.4]",UnsortedDictionaryEncoding,cpu,0.4,l_shipmode,FilterScan,Eq,AIR,6.561395632644044e-05,6.304960697889328e-05,0.0002138558775186,3.687944602537474e-06,15240.66000569806,10068,0,8,2399740,19197920
