group,name,fullname,param,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,iterations,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,param:operators,param:device,param:tensor_cls,param:scale
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.1",6.353016942739487e-05,0.0015597697347402573,6.66883835974982e-05,1.7478995264943062e-05,7511,6.599631160497665e-05,1.5925616025924683e-06,6.535463035106659e-05,6.694719195365906e-05,452,6,6;452,6.353016942739487e-05,6.934069097042084e-05,14995.11528177922,0.500896449200809,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.1",0.00013875402510166168,0.0007963608950376511,0.00014358675152525868,1.0954700685645512e-05,5155,0.00014223996549844742,2.9259826987981796e-06,0.0001413880381733179,0.0001443140208721161,319,76,76;319,0.00013875402510166168,0.00014872197061777115,6964.430836253633,0.7401897041127086,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.2",6.246939301490784e-05,0.00011765304952859879,6.495651695024687e-05,2.151374629643606e-06,9503,6.447173655033112e-05,8.419156074523926e-07,6.410107016563416e-05,6.494298577308655e-05,921,607,607;921,6.284937262535095e-05,6.621517241001129e-05,15394.914120255942,0.617281780578196,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.2",0.00013873260468244553,0.0016164174303412437,0.00014370627094349093,2.139053840082622e-05,5119,0.00014215055853128433,3.1962990760803223e-06,0.00014117825776338577,0.0001443745568394661,279,17,17;279,0.00013873260468244553,0.00014917366206645966,6958.638571821449,0.7356324009597301,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.2",0.00018949899822473526,0.00022906344383955002,0.00019443482849686137,3.27452260259406e-06,2757,0.000193767249584198,2.4652108550071716e-06,0.0001925947144627571,0.00019505992531776428,216,441,441;216,0.00018949899822473526,0.0001987665891647339,5143.1114874367395,0.5360568221658468,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.2",0.0003545628860592842,0.000515257939696312,0.00036106592141604593,9.028760482044815e-06,2659,0.0003592614084482193,3.898283466696739e-06,0.0003580788616091013,0.00036197714507579803,196,101,101;196,0.0003545628860592842,0.00036782771348953247,2769.5773560632674,0.9600742850452662,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedCDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.1",0.0001887977123260498,0.00230404082685709,0.00019453979250331439,3.1828437699852045e-05,4595,0.00019327551126480103,2.7525238692760468e-06,0.0001918841153383255,0.00019463663920760155,316,12,12;316,0.0001887977123260498,0.0001987665891647339,5140.3365200102335,0.8939103465527296,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.1",0.00035313982516527176,0.000515609048306942,0.00036108713601344476,8.236032165904813e-06,2608,0.00035989750176668167,3.887340426445007e-06,0.0003583300858736038,0.00036221742630004883,205,147,147;205,0.00035313982516527176,0.00036806799471378326,2769.414637808548,0.941715250723064,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedCDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.3",0.0001882370561361313,0.00040534883737564087,0.00019488373656262952,7.449145504771714e-06,4679,0.00019378680735826492,2.414686605334282e-06,0.0001925453543663025,0.00019496004097163677,432,253,253;432,0.00018901843577623367,0.0001985868439078331,5131.264504868683,0.9118610033765435,1,l_shipmode,FilterScan,Eq,AIR,1800093,0,8,14400744,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedDictionaryEncoding,0.3
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedCDictionaryEncoding-scale=0.3",0.00034782011061906815,0.0006094863638281822,0.00035853553397357575,7.3464887424613025e-06,2693,0.00035759806632995605,4.100147634744644e-06,0.00035601272247731686,0.0003601128701120615,189,230,230;189,0.00035000406205654144,0.0003663552924990654,2789.1238252376415,0.9655361929908395,1,l_shipmode,FilterScan,Eq,AIR,1800093,0,8,14400744,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedCDictionaryEncoding,0.3
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedDictionaryEncoding-scale=0.3",6.286893039941788e-05,0.0002378411591053009,6.508313072493455e-05,3.5539352235506726e-06,9925,6.464216858148575e-05,7.813796401023865e-07,6.427150219678879e-05,6.505288183689117e-05,801,461,461;801,6.312970072031021e-05,6.622541695833206e-05,15364.9646054424,0.6459500724449754,1,l_shipmode,FilterScan,Eq,AIR,1800093,0,8,14400744,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.3
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu-encoding=UnsortedCDictionaryEncoding-scale=0.3",0.00013848301023244858,0.00029214564710855484,0.00014195353423064654,4.251864543089848e-06,5260,0.00014115776866674423,1.4030374586582184e-06,0.0001405715011060238,0.000141974538564682,649,328,328;649,0.00013848301023244858,0.00014408305287361145,7044.55866787506,0.7466755900532007,1,l_shipmode,FilterScan,Eq,AIR,1800093,0,8,14400744,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.3
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.4]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.4]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cuda-encoding=UnsortedDictionaryEncoding-scale=0.4",0.00018986035138368607,0.00042707938700914383,0.00019533099347954647,6.991062831402761e-06,4666,0.00019444897770881653,2.4456530809402466e-06,0.00019324570894241333,0.00019569136202335358,381,179,179;381,0.00018986035138368607,0.00019937846809625626,5119.515250429073,0.9114144155755639,1,l_shipmode,FilterScan,Eq,AIR,2399740,0,8,19197920,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cuda,UnsortedDictionaryEncoding,0.4
