group,name,fullname,param,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,iterations,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,param:operators,param:device,param:tensor_cls,param:scale
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedDictionaryEncoding-scale=0.1",6.34603202342987e-05,0.0016788244247436523,6.763139308100215e-05,1.897402980085305e-05,7286,6.699841469526291e-05,9.015202522277832e-07,6.658583879470825e-05,6.748735904693604e-05,728,1,1;728,6.524380296468735e-05,6.884057074785233e-05,14786.03285315001,0.4927623299881816,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedCDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedCDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedCDictionaryEncoding-scale=0.1",0.00013962481170892715,0.0003344044089317322,0.00014331450744333804,5.186730150748383e-06,2612,0.0001423293724656105,1.7830170691013336e-06,0.0001415885053575039,0.00014337152242660522,279,189,189;279,0.00013962481170892715,0.00014608725905418396,6977.6606558506855,0.37433749344199896,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedDictionaryEncoding-scale=0.2",6.258860230445862e-05,0.0016582868993282318,6.592182792506344e-05,1.6105811281465478e-05,10102,6.548408418893814e-05,1.564621925354004e-06,6.453227251768112e-05,6.609689444303513e-05,690,10,10;690,6.258860230445862e-05,6.844941526651382e-05,15169.482271285755,0.6659423056989908,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedCDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedCDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu0-encoding=UnsortedCDictionaryEncoding-scale=0.2",0.0001384727656841278,0.00028402917087078094,0.00014327393965232898,3.839685517705547e-06,5147,0.00014217011630535126,3.105960786342621e-06,0.00014129839837551117,0.0001444043591618538,284,389,389;284,0.0001384727656841278,0.00014907307922840118,6979.636369507374,0.7374309673905373,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.2",6.359163671731949e-05,0.00020215380936861038,6.639249057205886e-05,2.676420595393057e-06,9583,6.60046935081482e-05,1.5252735465765e-06,6.525218486785889e-05,6.677745841443539e-05,447,452,452;447,6.359163671731949e-05,6.908085197210312e-05,15061.944376294387,0.63623923715204,1,l_shipmode,FilterScan,Eq,AIR,1199969,0,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.2]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.2]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.2",0.0009004482999444008,0.0013284003362059593,0.0010103874998848613,6.837510075341595e-05,41,0.0009974027052521706,4.7320034354925156e-05,0.0009787068702280521,0.0010260269045829773,3,5,5;3,0.000922640785574913,0.0011651208624243736,989.7192909789115,0.04142588749527931,1,l_shipmode,FilterScan,Eq,AIR,1199969,171945,8,9599752,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.2
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.1",6.166752427816391e-05,0.0001774374395608902,6.458237355585256e-05,2.372986094210847e-06,8507,6.410107016563416e-05,1.2116506695747375e-06,6.360094994306564e-05,6.481260061264038e-05,528,481,481;528,6.180722266435623e-05,6.663613021373749e-05,15484.101078062318,0.5494022518396378,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.1]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.1]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.1",0.00013804249465465546,0.00027792714536190033,0.0001419694294118478,3.309453259939733e-06,4791,0.00014129746705293655,1.4118850231170654e-06,0.00014068745076656342,0.00014209933578968048,404,329,329;404,0.00013876333832740784,0.000144224613904953,7043.769945000193,0.6801755363121629,1,l_shipmode,FilterScan,Eq,AIR,600572,0,8,4804576,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.1
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedDictionaryEncoding-scale=0.3",6.149709224700928e-05,0.0029814867302775383,6.504751350082918e-05,3.328768907828556e-05,8253,6.39716163277626e-05,1.5620607882738113e-06,6.335042417049408e-05,6.491248495876789e-05,595,4,4;595,6.149709224700928e-05,6.72563910484314e-05,15373.377800017715,0.5368371289223433,1,l_shipmode,FilterScan,Eq,AIR,1800093,0,8,14400744,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedDictionaryEncoding,0.3
string_tensor_query_processing | TPCH,"test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.3]","bench_test.py::TestStringColumnTensor::test_tpch_string_processing[op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.3]","op=FilterScan,col=l_shipmode,pred=Eq,val=AIR-device=cpu1-encoding=UnsortedCDictionaryEncoding-scale=0.3",0.0001391945406794548,0.0031826989725232124,0.00014544122630604485,4.526942742242157e-05,4783,0.00014398247003555298,3.3760443329811096e-06,0.00014221016317605972,0.00014558620750904083,334,5,5;334,0.0001391945406794548,0.0001506563276052475,6875.629595529874,0.6956453854218125,1,l_shipmode,FilterScan,Eq,AIR,1800093,0,8,14400744,"[FilterScan(col='l_shipmode', pred=PredicateEq(value='AIR'))]",cpu,UnsortedCDictionaryEncoding,0.3
