name,param:col,param:device,param:group,param:predicate,param:return_mask,param:scale,param:tensor_cls,param:torch_compile,col,op,pred,val,tuple_count,query_result_size,tuple_element_size_bytes,total_size_bytes,stage,error,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0005996078252792358,0.0007368179503828287,0.0006066172998565846,5.866703095804039e-06,0.0006054691039025784,2.773711457848549e-06,95;122,1648.48579200827,1670,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0005997470580041409,0.004848749842494726,0.0006094976135268449,0.00010430134778378594,0.0006057246355339885,2.884073182940483e-06,4;122,1640.695513495978,1662,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.00060863490216434,0.0017509630415588617,0.0006154124073923454,2.8397247086350196e-05,0.0006137450691312551,2.064742147922516e-06,8;145,1624.9266150438002,1635,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0006107189692556858,0.0007831568364053965,0.0006148083018572522,7.549441859688074e-06,0.0006134840659797192,1.6032718122005463e-06,64;185,1626.5232544504297,1637,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0008188241627067327,0.004810246871784329,0.0008369331399892608,0.0001142451877780641,0.0008321790955960751,5.413196049630642e-06,3;83,1194.8385745757798,1221,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0008210779633373022,0.001035996014252305,0.0008368610892994482,1.418001145034946e-05,0.0008337219478562474,4.918081685900688e-06,93;139,1194.9414458224105,1220,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010100658982992172,0.0012765619903802872,0.0010197832689263517,9.396675883797788e-06,0.0010186529252678156,3.186054527759552e-06,24;57,980.6005162771695,986,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010124810505658388,0.005231155082583427,0.0010240929445410507,0.00013420415707950188,0.0010189840104430914,3.236113116145134e-06,1;60,976.4738692230245,986,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010807509534060955,0.0012257460039108992,0.0010863503718897861,6.776194438852206e-06,0.0010853594867512584,1.9994331523776054e-06,32;82,920.5133314958291,924,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0010814019478857517,0.0046108688693493605,0.001091412949199612,0.00011604530703058979,0.001086491160094738,2.154149115085602e-06,2;84,916.2434811987068,925,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0012575557921081781,0.0013244429137557745,0.001274975450239711,1.3045177687857003e-05,0.0012708508875221014,9.49460081756115e-06,120;95,784.3288275174143,797,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-CDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,10,CDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,59986052,8,479888416,,,0.0012600109912455082,0.0014962989371269941,0.001278085536953706,1.541829414824419e-05,0.0012758910888805985,1.1532101780176163e-05,55;41,782.4202458181962,798,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.001285339007154107,0.004928570939227939,0.0013101116788275108,0.00013107290616969254,0.0013000371400266886,1.2441480066627264e-05,2;81,763.2937070639304,777,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.001289987936615944,0.001455381978303194,0.001307238083513033,8.859662946399845e-06,0.0013054669834673405,4.948466084897518e-06,54;44,764.9715936309242,775,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-DictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0012915600091218948,0.004299477208405733,0.0013214605607073078,0.00010909639621244508,0.0013116990448907018,2.1355575881898403e-05,2;35,756.7384375548469,772,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0012932640966027975,0.0015023909509181976,0.0013160375880026747,1.9083791562423626e-05,0.001310325926169753,1.762073952704668e-05,101;39,759.8567161882366,771,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[20-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,20,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,119994608,119994608,8,959956864,,,0.0012935749255120754,0.0014506620354950428,0.001308807436940664,1.1103462781457446e-05,0.0013060979545116425,5.7827564887702465e-06,36;38,764.0543381519126,773,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0012976222205907106,0.003082890063524246,0.001326544745310521,6.65074973820339e-05,0.001318562077358365,2.4428532924503088e-05,6;25,753.8381223363239,769,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-DictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,DictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.0014207859057933092,0.0015706100966781378,0.0014289820484209357,9.21819483908008e-06,0.001427799928933382,3.504625055938959e-06,17;35,699.7988540898939,705,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-DictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,30,DictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.001421567052602768,0.005320636089891195,0.001434593056070262,0.0001470051895988917,0.0014279498718678951,3.4768017940223217e-06,1;40,697.0617875004011,703,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-index-compile],l_shipmode,cuda,,eq,False,10,UnsortedCDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0015080408193171024,0.0016550908330827951,0.001531028948898981,1.6241581868398268e-05,0.0015263850800693035,1.549010630697012e-05,115;44,653.1555139562428,661,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[10-l_shipmode-eq-cuda-UnsortedCDictionaryEncoding-index-eager],l_shipmode,cuda,,eq,False,10,UnsortedCDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,59986052,8567549,8,479888416,,,0.0015131800901144743,0.005405136151239276,0.001546070332107952,0.00015216559286581694,0.0015340809477493167,2.3644533939659595e-05,1;24,646.8011055076481,656,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-compile],l_shipmode,cuda,,eq,True,30,UnsortedDictionaryEncoding,True,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.001555881928652525,0.0016869809478521347,0.001559425608514233,5.864837131292407e-06,0.0015585280489176512,2.028129529207945e-06,29;52,641.2617533918566,643,1
bench_test.py::TestStringColumnTensor::test_tpch_string_processing[30-l_shipmode-eq-cuda-UnsortedDictionaryEncoding-mask-eager],l_shipmode,cuda,,eq,True,30,UnsortedDictionaryEncoding,False,l_shipmode,FilterScan,Eq,TRUCK,179998372,179998372,8,1439986976,,,0.0015562931075692177,0.0047089250292629,0.001565318841061339,0.00012428842014120312,0.001559369033202529,2.0763836801052094e-06,1;57,638.8474819110759,643,1
